vote_average,revenue_average,count,genre,year,month,day,date
6.1,0.0,1,Comedy,1892,10,1,1892-10
6.2,0.0,1,Documentary,1895,6,1,1895-06
6.7,0.0,1,Fantasy,1896,12,1,1896-12
6.4,0.0,1,Drama,1901,1,1,1901-01
7.9,0.0,1,Adventure,1902,9,1,1902-09
6.3,0.0,1,Action,1903,1,1,1903-01
6.5,0.0,1,Drama,1909,12,1,1909-12
6.9,0.0,1,Drama,1910,9,1,1910-09
6.5,0.0,1,Unknown,1911,3,1,1911-03
6.3,0.0,1,Comedy,1911,9,1,1911-09
6.6,0.0,1,Adventure,1912,1,1,1912-01
6.1,0.0,1,Crime,1912,10,1,1912-10
7.2,0.0,1,Animation,1912,10,1,1912-10
7.0,0.0,1,Fantasy,1912,10,1,1912-10
6.3,0.0,1,Unknown,1913,1,1,1913-01
6.7,0.0,1,Crime,1913,5,1,1913-05
6.2,0.0,1,Drama,1913,8,1,1913-08
6.4,0.0,1,Crime,1913,9,1,1913-09
7.8,0.0,1,Drama,1913,10,1,1913-10
6.4,0.0,1,Crime,1913,11,1,1913-11
6.3,0.0,1,Mystery,1914,3,1,1914-03
6.2,0.0,1,Crime,1914,3,1,1914-03
6.8,0.0,1,Drama,1914,6,1,1914-06
6.5,0.0,1,Drama,1914,8,1,1914-08
6.7,0.0,1,Animation,1914,9,1,1914-09
6.6,0.0,1,Comedy,1914,11,1,1914-11
6.2,0.0,1,Drama,1914,12,1,1914-12
6.4,0.0,1,Drama,1915,1,1,1915-01
6.4,11000000.0,1,Drama,1915,2,1,1915-02
6.3,0.0,1,Comedy,1915,3,1,1915-03
6.5,0.0,1,Comedy,1915,4,1,1915-04
7.0,0.0,1,Fantasy,1915,10,1,1915-10
6.2,0.0,1,Comedy,1915,11,1,1915-11
6.8,0.0,1,Crime,1915,11,1,1915-11
6.5,0.0,1,Drama,1916,4,1,1916-04
6.3,0.0,1,Horror,1916,4,1,1916-04
6.3,0.0,1,Comedy,1916,5,1,1916-05
6.5,0.0,1,Drama,1916,6,1,1916-06
6.2,0.0,1,Comedy,1916,6,1,1916-06
6.5,0.0,1,Mystery,1916,6,1,1916-06
6.3,0.0,1,Comedy,1916,7,1,1916-07
6.3,0.0,1,Comedy,1916,8,1,1916-08
6.7,0.0,1,Unknown,1916,9,1,1916-09
7.4,0.0,1,Drama,1916,9,1,1916-09
6.1,0.0,1,Comedy,1916,9,1,1916-09
6.4,0.0,1,Comedy,1916,10,1,1916-10
6.8,0.0,1,Comedy,1916,11,1,1916-11
4.0,0.0,1,Unknown,1916,12,1,1916-12
7.0,0.0,1,Romance,1916,12,1,1916-12
6.5,0.0,1,Comedy,1916,12,1,1916-12
7.0,0.0,1,Comedy,1917,1,1,1917-01
6.949999999999999,0.0,2,Drama,1917,1,1,1917-01
7.5,0.0,1,Comedy,1917,6,1,1917-06
6.3,0.0,1,Western,1917,8,1,1917-08
6.65,0.0,2,Comedy,1917,10,1,1917-10
9.5,0.0,1,Comedy,1917,11,1,1917-11
7.6,0.0,2,Drama,1918,1,1,1918-01
7.1,0.0,1,Comedy,1918,4,1,1918-04
7.0,0.0,1,Drama,1918,5,1,1918-05
6.7,0.0,1,Comedy,1918,8,1,1918-08
6.9,0.0,1,Comedy,1918,10,1,1918-10
6.7,0.0,1,Documentary,1919,1,1,1919-01
7.9,0.0,1,War,1919,4,1,1919-04
6.95,0.0,2,Drama,1919,5,1,1919-05
6.933333333333334,0.0,3,Comedy,1919,6,1,1919-06
6.3,0.0,1,Comedy,1919,7,1,1919-07
6.5,0.0,1,Comedy,1919,8,1,1919-08
6.7,0.0,1,History,1919,9,1,1919-09
6.3,0.0,1,Comedy,1919,9,1,1919-09
6.5,0.0,1,Drama,1919,12,1,1919-12
7.1,0.0,1,Comedy,1919,12,1,1919-12
6.8,0.0,1,Comedy,1920,1,1,1920-01
7.7,0.0,1,Unknown,1920,1,1,1920-01
7.7,0.0,1,Drama,1920,2,1,1920-02
6.5,0.0,1,Unknown,1920,5,1,1920-05
7.5,0.0,1,Comedy,1920,5,1,1920-05
8.5,0.0,1,Comedy,1920,7,1,1920-07
6.6,0.0,1,Crime,1920,8,1,1920-08
6.300000000000001,0.0,2,Drama,1920,9,1,1920-09
6.6,0.0,1,Comedy,1920,10,1,1920-10
6.8,0.0,1,Drama,1920,10,1,1920-10
7.0,0.0,1,Horror,1920,10,1,1920-10
7.4,0.0,2,Comedy,1920,12,1,1920-12
7.7,0.0,1,Drama,1921,1,1,1921-01
8.0,2500000.0,1,Comedy,1921,1,1,1921-01
6.5,0.0,1,Comedy,1921,2,1,1921-02
6.5,0.0,1,Comedy,1921,3,1,1921-03
6.7,0.0,2,Crime,1921,4,1,1921-04
6.3,0.0,1,Comedy,1921,4,1,1921-04
7.0,0.0,1,Comedy,1921,5,1,1921-05
6.1,0.0,1,Comedy,1921,9,1,1921-09
7.65,0.0,2,Drama,1921,9,1,1921-09
6.5,0.0,1,Crime,1921,9,1,1921-09
6.85,0.0,2,Comedy,1921,10,1,1921-10
7.4,0.0,1,Thriller,1921,10,1,1921-10
6.3,0.0,1,Action,1921,11,1,1921-11
6.8,0.0,1,Drama,1921,12,1,1921-12
6.4,400200.0,1,Drama,1922,1,1,1922-01
7.7,0.0,1,Fantasy,1922,3,1,1922-03
9.0,0.0,1,History,1922,3,1,1922-03
6.9,0.0,1,Comedy,1922,3,1,1922-03
7.6,0.0,1,Crime,1922,4,1,1922-04
7.2,0.0,1,Documentary,1922,6,1,1922-06
6.9,0.0,1,Comedy,1922,7,1,1922-07
6.5,0.0,1,Unknown,1922,8,1,1922-08
7.5,0.0,1,Horror,1922,9,1,1922-09
7.1,0.0,1,Comedy,1922,10,1,1922-10
7.3,0.0,1,Drama,1922,11,1,1922-11
6.6,0.0,2,Comedy,1922,11,1,1922-11
7.0,0.0,1,Drama,1923,2,1,1923-02
7.3,0.0,1,Comedy,1923,2,1,1923-02
6.6,0.0,1,Comedy,1923,3,1,1923-03
7.6,311.5,2,Comedy,1923,4,1,1923-04
7.5,0.0,2,Drama,1923,9,1,1923-09
6.3,0.0,1,Unknown,1923,9,1,1923-09
7.1,0.0,1,Thriller,1923,10,1,1923-10
7.1,0.0,1,Drama,1923,10,1,1923-10
7.7,0.0,1,Comedy,1923,11,1,1923-11
7.5,0.0,1,Comedy,1924,1,1,1924-01
7.7,0.0,1,Adventure,1924,2,1,1924-02
7.0,0.0,1,Drama,1924,3,1,1924-03
6.9,0.0,1,Action,1924,4,1,1924-04
7.5,0.0,1,Adventure,1924,4,1,1924-04
8.1,0.0,1,Fantasy,1924,4,1,1924-04
10.0,0.0,1,Unknown,1924,5,1,1924-05
7.0,0.0,1,Documentary,1924,5,1,1924-05
7.1,0.0,1,Western,1924,8,1,1924-08
6.9,0.0,1,Crime,1924,9,1,1924-09
7.8,0.0,1,Documentary,1924,10,1,1924-10
6.5,0.0,1,Comedy,1924,10,1,1924-10
7.3,0.0,1,Action,1924,10,1,1924-10
6.4,0.0,1,Fantasy,1924,11,1,1924-11
7.55,0.0,4,Drama,1924,12,1,1924-12
6.8,0.0,1,Comedy,1924,12,1,1924-12
6.7,0.0,1,Drama,1925,1,1,1925-01
7.0,0.0,1,Drama,1925,2,1,1925-02
7.4,0.0,1,Drama,1925,3,1,1925-03
8.0,0.0,1,Documentary,1925,3,1,1925-03
7.3,0.0,1,Comedy,1925,3,1,1925-03
7.2,0.0,1,Drama,1925,4,1,1925-04
7.15,1250000.0,2,Adventure,1925,6,1,1925-06
7.0,0.0,1,Western,1925,6,1,1925-06
7.0,0.0,1,Drama,1925,9,1,1925-09
7.0,0.0,1,Comedy,1925,9,1,1925-09
6.7,0.0,1,Drama,1925,10,1,1925-10
